age	credit	debt	savings	result
33.0	682.0	13.153	0.0	Denied
54.0	734.0	10.754	3.59	Denied
39.0	771.0	7.331	8.27	Loan Approved
27.0	706.0	6.209	8.819	Loan Approved
40.0	665.0	11.035	10.602	Loan Approved
59.0	683.0	13.5	0.0	Denied
54.0	719.0	6.16	8.15	Loan Approved
28.0	670.0	11.623	0.608	Denied
44.0	683.0	9.375	11.789	Loan Approved
54.0	602.0	5.267	0.0	Denied
35.0	754.0	5.544	2.099	Loan Approved
54.0	697.0	11.866	8.543	Denied
38.0	672.0	12.487	1.173	Denied
24.0	754.0	0.639	0.0	Loan Approved
55.0	697.0	0.0	6.145	Loan Approved
28.0	708.0	10.919	6.15	Denied
43.0	623.0	3.422	16.064	Loan Approved
30.0	672.0	5.863	2.625	Denied
58.0	711.0	9.148	9.985	Loan Approved
33.0	721.0	6.596	11.089	Loan Approved
25.0	699.0	17.495	4.515	Denied
37.0	687.0	10.144	15.636	Loan Approved
32.0	677.0	6.664	9.874	Loan Approved
53.0	564.0	3.986	2.737	Loan Approved
37.0	691.0	12.105	2.903	Denied
39.0	742.0	8.071	10.459	Loan Approved
57.0	726.0	5.278	10.199	Loan Approved
53.0	691.0	6.887	7.681	Loan Approved
24.0	670.0	7.634	13.298	Denied
44.0	695.0	6.351	0.947	Loan Approved
37.0	713.0	10.087	11.544	Loan Approved
24.0	650.0	14.903	6.292	Denied
50.0	778.0	4.177	5.164	Loan Approved
40.0	696.0	11.42	6.264	Denied
39.0	780.0	11.751	15.162	Loan Approved
48.0	660.0	8.339	4.564	Loan Approved
48.0	751.0	8.013	4.687	Loan Approved
47.0	700.0	5.118	0.0	Denied
35.0	753.0	14.064	10.822	Denied
38.0	709.0	6.05	7.231	Denied
34.0	777.0	4.795	11.171	Loan Approved
27.0	624.0	15.145	4.059	Denied
31.0	728.0	10.491	4.554	Denied
36.0	723.0	14.029	4.072	Denied
28.0	684.0	7.938	9.008	Denied
57.0	701.0	7.889	1.412	Loan Approved
39.0	661.0	6.131	2.007	Loan Approved
38.0	742.0	7.104	4.74	Denied
59.0	691.0	7.617	4.934	Denied
47.0	777.0	6.132	7.541	Loan Approved
44.0	777.0	9.856	10.116	Loan Approved
59.0	689.0	8.215	10.596	Loan Approved
32.0	732.0	12.074	8.134	Loan Approved
53.0	671.0	7.928	3.435	Denied
56.0	712.0	10.209	9.159	Loan Approved
48.0	737.0	0.0	12.283	Loan Approved
44.0	635.0	5.428	12.227	Loan Approved
34.0	676.0	10.672	1.868	Denied
53.0	712.0	10.044	9.913	Loan Approved
41.0	669.0	7.142	6.614	Denied
38.0	669.0	12.983	4.717	Denied
33.0	740.0	4.3	0.0	Denied
29.0	676.0	4.989	5.796	Loan Approved
29.0	726.0	3.924	6.854	Loan Approved
38.0	680.0	3.398	8.71	Loan Approved
58.0	753.0	6.3	11.015	Loan Approved
50.0	768.0	8.076	5.237	Denied
27.0	637.0	8.882	3.263	Denied
31.0	629.0	5.9	0.211	Denied
57.0	629.0	6.739	0.0	Denied
31.0	657.0	9.398	4.441	Loan Approved
49.0	705.0	6.706	10.615	Loan Approved
35.0	692.0	7.627	10.396	Loan Approved
51.0	725.0	13.234	10.726	Loan Approved
33.0	680.0	6.201	14.07	Loan Approved
32.0	782.0	8.03	5.489	Loan Approved
56.0	673.0	0.363	7.341	Loan Approved
41.0	793.0	7.727	17.446	Loan Approved
57.0	806.0	1.983	7.177	Loan Approved
49.0	768.0	5.034	0.0	Loan Approved
56.0	698.0	7.218	12.354	Loan Approved
45.0	714.0	11.06	10.513	Loan Approved
51.0	740.0	5.709	11.489	Loan Approved
57.0	662.0	6.436	9.038	Loan Approved
26.0	743.0	9.135	10.333	Loan Approved
52.0	639.0	11.701	0.0	Denied
36.0	736.0	5.962	13.576	Loan Approved
51.0	708.0	10.285	7.383	Loan Approved
59.0	666.0	6.921	2.383	Denied
36.0	611.0	5.609	8.002	Loan Approved
26.0	745.0	13.387	6.537	Denied
44.0	764.0	6.76	12.262	Loan Approved
48.0	652.0	11.018	5.195	Denied
46.0	706.0	17.577	8.633	Denied
34.0	758.0	7.846	10.045	Loan Approved
38.0	673.0	9.183	0.672	Denied
53.0	689.0	5.607	5.694	Denied
54.0	657.0	4.487	5.864	Loan Approved
44.0	659.0	9.172	5.549	Loan Approved
30.0	734.0	3.04	7.16	Loan Approved
33.0	772.0	0.282	7.485	Loan Approved
56.0	604.0	13.277	7.128	Loan Approved
44.0	717.0	1.112	5.938	Loan Approved
27.0	681.0	9.893	13.476	Denied
34.0	722.0	6.601	2.316	Loan Approved
50.0	784.0	4.607	7.335	Loan Approved
39.0	659.0	10.193	9.654	Loan Approved
56.0	640.0	14.982	6.528	Denied
47.0	648.0	12.8	6.468	Denied
51.0	730.0	0.403	9.564	Loan Approved
39.0	624.0	9.785	2.332	Loan Approved
59.0	683.0	7.108	6.176	Loan Approved
58.0	631.0	15.829	4.751	Loan Approved
48.0	709.0	17.02	6.283	Denied
47.0	710.0	0.445	6.239	Loan Approved
57.0	676.0	4.695	11.779	Loan Approved
34.0	642.0	7.711	5.661	Denied
31.0	758.0	11.301	2.82	Denied
30.0	730.0	0.109	11.696	Loan Approved
38.0	650.0	1.667	6.919	Loan Approved
44.0	672.0	12.621	3.7	Loan Approved
59.0	722.0	2.344	4.705	Loan Approved
28.0	761.0	0.989	5.512	Loan Approved
52.0	735.0	5.854	7.933	Loan Approved
43.0	696.0	11.48	5.271	Loan Approved
59.0	616.0	7.455	8.909	Loan Approved
32.0	656.0	10.138	9.213	Loan Approved
59.0	636.0	16.481	0.71	Denied
29.0	675.0	4.362	0.0	Loan Approved
49.0	627.0	4.359	4.729	Loan Approved
48.0	679.0	0.0	11.834	Loan Approved
37.0	700.0	10.226	6.611	Denied
30.0	722.0	11.026	1.854	Loan Approved
54.0	715.0	6.553	8.174	Loan Approved
56.0	659.0	12.432	4.76	Denied
49.0	723.0	15.65	9.406	Denied
49.0	688.0	17.941	2.86	Denied
43.0	722.0	6.662	5.489	Loan Approved
51.0	671.0	12.071	5.932	Denied
25.0	651.0	4.097	3.798	Loan Approved
33.0	679.0	13.358	13.326	Denied
50.0	686.0	6.706	5.497	Loan Approved
29.0	723.0	3.746	8.969	Loan Approved
44.0	688.0	8.096	2.169	Denied
47.0	667.0	5.307	10.426	Loan Approved
29.0	708.0	9.927	19.452	Loan Approved
53.0	689.0	8.019	12.009	Loan Approved
37.0	717.0	3.488	5.522	Denied
38.0	693.0	9.439	7.497	Denied
41.0	733.0	8.352	9.041	Denied
40.0	738.0	17.532	6.968	Denied
45.0	700.0	8.451	11.738	Loan Approved
57.0	680.0	11.437	5.733	Loan Approved
56.0	637.0	6.815	7.829	Denied
44.0	708.0	7.791	8.307	Denied
44.0	695.0	3.137	6.073	Loan Approved
53.0	726.0	4.63	5.324	Denied
46.0	767.0	7.901	8.678	Loan Approved
39.0	722.0	10.35	6.378	Loan Approved
41.0	680.0	6.413	2.524	Denied
44.0	756.0	6.763	9.579	Loan Approved
40.0	740.0	2.747	8.413	Loan Approved
49.0	605.0	11.592	10.913	Denied
59.0	821.0	8.626	0.053	Loan Approved
47.0	671.0	9.474	6.52	Loan Approved
52.0	691.0	13.279	5.901	Loan Approved
25.0	674.0	4.551	2.088	Loan Approved
52.0	752.0	10.523	9.979	Loan Approved
49.0	705.0	5.741	9.321	Loan Approved
58.0	661.0	5.135	10.017	Loan Approved
44.0	665.0	7.213	4.776	Denied
55.0	717.0	7.61	13.472	Loan Approved
54.0	692.0	12.818	7.603	Loan Approved
33.0	776.0	2.212	11.218	Loan Approved
31.0	697.0	11.467	11.471	Denied
30.0	796.0	14.118	11.203	Denied
52.0	646.0	6.671	4.665	Loan Approved
42.0	664.0	10.466	23.058	Loan Approved
36.0	689.0	14.19	10.75	Loan Approved
28.0	629.0	10.48	3.262	Loan Approved
52.0	654.0	5.348	0.0	Loan Approved
44.0	711.0	9.403	6.721	Denied
48.0	688.0	8.156	4.043	Loan Approved
42.0	741.0	8.537	7.066	Loan Approved
52.0	679.0	4.305	1.195	Denied
50.0	718.0	12.481	13.457	Denied
40.0	743.0	9.794	11.23	Denied
36.0	649.0	4.919	5.468	Denied
54.0	695.0	0.0	8.35	Loan Approved
49.0	832.0	5.925	11.436	Loan Approved
51.0	602.0	6.356	1.585	Loan Approved
31.0	672.0	9.263	10.399	Denied
30.0	665.0	7.411	0.0	Loan Approved
33.0	708.0	4.998	0.0	Denied
39.0	641.0	13.996	3.341	Denied
31.0	734.0	11.647	6.779	Loan Approved
32.0	727.0	6.734	10.509	Denied
46.0	757.0	10.944	9.484	Denied
56.0	687.0	9.685	9.854	Denied
38.0	736.0	4.007	10.357	Loan Approved
29.0	647.0	10.015	1.912	Denied
29.0	683.0	17.977	2.416	Denied
38.0	740.0	11.231	11.238	Loan Approved
27.0	760.0	0.0	8.438	Loan Approved
32.0	655.0	9.239	5.991	Loan Approved
29.0	745.0	10.144	8.738	Loan Approved
48.0	799.0	3.278	11.823	Loan Approved
25.0	708.0	7.376	0.028	Denied
43.0	657.0	5.994	9.915	Loan Approved
44.0	711.0	10.47	5.162	Loan Approved
36.0	838.0	4.972	7.619	Loan Approved
38.0	658.0	11.649	0.0	Denied
25.0	609.0	1.497	11.4	Loan Approved
48.0	840.0	13.739	1.124	Loan Approved
54.0	674.0	7.501	0.0	Loan Approved
52.0	750.0	10.921	0.0	Denied
41.0	725.0	13.642	4.252	Loan Approved
25.0	577.0	14.665	0.309	Denied
53.0	737.0	6.493	7.765	Denied
57.0	730.0	7.136	3.539	Denied
39.0	641.0	5.055	10.301	Loan Approved
55.0	682.0	15.503	1.321	Denied
35.0	779.0	6.93	7.86	Loan Approved
53.0	644.0	5.982	11.775	Loan Approved
54.0	726.0	5.41	12.869	Loan Approved
27.0	714.0	6.011	11.727	Loan Approved
26.0	679.0	12.687	1.389	Denied
58.0	676.0	5.672	7.072	Loan Approved
31.0	705.0	10.502	6.189	Loan Approved
53.0	690.0	5.597	5.765	Loan Approved
52.0	746.0	3.181	6.363	Loan Approved
54.0	704.0	7.273	4.063	Denied
45.0	626.0	7.459	5.332	Loan Approved
27.0	705.0	4.477	5.871	Loan Approved
41.0	749.0	11.797	6.95	Loan Approved
30.0	681.0	3.215	0.087	Loan Approved
52.0	641.0	9.521	1.713	Denied
25.0	661.0	8.256	5.143	Denied
55.0	685.0	7.509	6.032	Denied
46.0	757.0	5.118	9.622	Loan Approved
30.0	613.0	9.671	5.966	Loan Approved
47.0	668.0	8.942	16.296	Loan Approved
53.0	776.0	8.623	5.217	Loan Approved
37.0	756.0	5.259	2.499	Loan Approved
26.0	736.0	5.778	10.225	Loan Approved
52.0	632.0	6.192	3.112	Denied
27.0	750.0	5.027	1.772	Loan Approved
56.0	767.0	6.893	4.963	Loan Approved
55.0	659.0	12.845	0.0	Denied
43.0	779.0	0.0	2.671	Loan Approved
45.0	671.0	6.857	3.513	Denied
40.0	709.0	5.378	3.907	Loan Approved
34.0	731.0	7.201	6.646	Loan Approved
46.0	694.0	7.366	7.229	Denied
28.0	697.0	1.365	4.715	Loan Approved
42.0	792.0	9.08	13.156	Loan Approved
53.0	622.0	13.636	12.295	Denied
44.0	714.0	8.568	8.969	Denied
41.0	695.0	4.331	0.138	Loan Approved
42.0	713.0	6.458	7.371	Loan Approved
57.0	645.0	18.038	6.92	Denied
27.0	806.0	6.454	0.0	Loan Approved
49.0	761.0	9.358	11.086	Loan Approved
45.0	681.0	2.313	12.401	Loan Approved
53.0	742.0	9.265	6.353	Denied
48.0	699.0	5.916	1.13	Denied
41.0	644.0	4.56	7.426	Loan Approved
25.0	655.0	13.309	5.07	Denied
34.0	637.0	8.316	9.035	Loan Approved
45.0	674.0	0.0	0.544	Loan Approved
34.0	688.0	11.002	6.597	Denied
25.0	654.0	10.608	10.871	Loan Approved
59.0	805.0	6.671	7.815	Loan Approved
37.0	782.0	2.115	8.314	Loan Approved
57.0	662.0	6.394	2.793	Loan Approved
30.0	719.0	6.492	11.105	Loan Approved
57.0	701.0	10.234	0.0	Loan Approved
49.0	708.0	11.8	11.328	Loan Approved
33.0	694.0	7.354	1.512	Denied
42.0	755.0	7.085	5.917	Loan Approved
53.0	691.0	11.169	8.942	Loan Approved
53.0	645.0	4.863	3.665	Loan Approved
56.0	768.0	4.721	13.789	Loan Approved
25.0	622.0	7.975	5.997	Denied
53.0	726.0	9.366	2.948	Denied
59.0	654.0	4.611	8.558	Loan Approved
53.0	696.0	5.909	3.606	Denied
48.0	716.0	0.0	5.904	Loan Approved
47.0	736.0	7.94	10.895	Loan Approved
39.0	742.0	9.395	11.295	Denied
37.0	665.0	9.024	0.0	Loan Approved
54.0	737.0	7.661	6.99	Loan Approved
57.0	658.0	9.413	1.851	Denied
26.0	675.0	8.483	8.087	Loan Approved
39.0	738.0	9.74	10.993	Loan Approved
54.0	668.0	4.34	7.346	Loan Approved
46.0	729.0	5.958	4.848	Loan Approved
57.0	699.0	8.354	5.032	Denied
59.0	702.0	2.056	5.304	Loan Approved
44.0	631.0	11.249	6.272	Denied
59.0	709.0	8.717	3.963	Denied
47.0	711.0	0.385	5.854	Loan Approved
55.0	835.0	12.938	5.906	Loan Approved
42.0	667.0	7.508	5.281	Denied
50.0	644.0	7.261	1.034	Denied
32.0	705.0	13.666	5.55	Denied
51.0	673.0	10.824	4.688	Loan Approved
26.0	714.0	7.762	5.906	Loan Approved
27.0	733.0	10.018	6.738	Denied
41.0	694.0	8.249	9.976	Loan Approved
46.0	680.0	6.519	8.133	Loan Approved
33.0	719.0	3.062	1.572	Loan Approved
55.0	608.0	7.142	5.88	Loan Approved
25.0	704.0	1.632	6.078	Loan Approved
24.0	617.0	12.984	2.125	Denied
42.0	667.0	11.175	4.073	Denied
44.0	770.0	8.123	17.619	Loan Approved
39.0	724.0	10.368	5.543	Denied
29.0	658.0	7.29	11.989	Loan Approved
45.0	773.0	7.827	8.43	Loan Approved
42.0	793.0	8.5	9.323	Loan Approved
33.0	644.0	1.242	2.641	Loan Approved
44.0	663.0	8.04	6.324	Loan Approved
37.0	760.0	7.657	7.313	Loan Approved
25.0	755.0	4.307	12.334	Loan Approved
52.0	677.0	8.845	1.231	Loan Approved
45.0	637.0	9.366	14.348	Loan Approved
44.0	728.0	12.648	3.794	Denied
40.0	619.0	7.428	10.502	Loan Approved
39.0	737.0	6.22	14.933	Loan Approved
40.0	636.0	10.561	8.856	Loan Approved
46.0	679.0	1.867	12.852	Loan Approved
48.0	655.0	1.87	14.827	Loan Approved
29.0	675.0	4.608	7.893	Loan Approved
38.0	675.0	11.618	6.415	Loan Approved
46.0	668.0	11.335	9.838	Loan Approved
34.0	737.0	3.513	11.133	Loan Approved
46.0	703.0	3.646	0.0	Loan Approved
37.0	640.0	7.923	5.753	Loan Approved
42.0	708.0	8.091	6.635	Loan Approved
48.0	741.0	9.553	15.68	Loan Approved
43.0	709.0	14.692	3.411	Denied
29.0	660.0	7.188	4.99	Loan Approved
41.0	720.0	12.125	7.835	Loan Approved
34.0	776.0	7.366	9.223	Loan Approved
40.0	749.0	7.364	9.326	Loan Approved
28.0	697.0	12.4	1.451	Denied
55.0	666.0	12.042	3.92	Denied
36.0	783.0	6.614	5.648	Loan Approved
43.0	700.0	11.22	9.343	Loan Approved
39.0	744.0	6.467	5.639	Loan Approved
40.0	755.0	1.534	12.987	Loan Approved
58.0	616.0	12.871	8.409	Denied
55.0	705.0	13.841	17.123	Loan Approved
50.0	688.0	7.716	10.783	Loan Approved
33.0	655.0	7.053	7.683	Loan Approved
34.0	662.0	7.126	5.997	Denied
28.0	757.0	9.083	9.844	Loan Approved
53.0	722.0	0.0	7.105	Loan Approved
58.0	718.0	3.547	5.572	Loan Approved
34.0	728.0	0.0	1.836	Loan Approved
52.0	660.0	17.403	10.175	Denied
43.0	717.0	10.425	7.508	Denied
28.0	674.0	8.529	4.643	Loan Approved
36.0	723.0	8.37	11.773	Loan Approved
30.0	651.0	13.462	0.0	Denied
30.0	693.0	12.836	7.292	Loan Approved
46.0	766.0	6.236	4.048	Denied
49.0	766.0	7.216	1.778	Loan Approved
52.0	707.0	7.785	13.011	Loan Approved
34.0	774.0	5.342	6.066	Loan Approved
48.0	780.0	0.893	9.735	Loan Approved
48.0	729.0	11.676	14.9	Loan Approved
40.0	701.0	11.37	9.339	Loan Approved
52.0	744.0	9.352	6.336	Loan Approved
24.0	610.0	2.795	9.643	Loan Approved
50.0	672.0	0.692	5.022	Loan Approved
43.0	721.0	4.34	4.98	Loan Approved
29.0	687.0	11.14	8.362	Denied
55.0	655.0	11.99	15.204	Loan Approved
35.0	768.0	4.581	15.815	Loan Approved
27.0	714.0	10.585	6.784	Denied
41.0	672.0	8.093	10.291	Loan Approved
47.0	705.0	6.601	0.0	Denied
25.0	689.0	7.93	5.162	Denied
51.0	733.0	11.929	13.3	Loan Approved
56.0	525.0	8.338	2.286	Denied
26.0	735.0	13.125	8.251	Loan Approved
50.0	753.0	4.938	10.137	Loan Approved
55.0	711.0	3.214	7.064	Loan Approved
58.0	781.0	3.105	10.463	Loan Approved
31.0	674.0	2.07	8.89	Loan Approved
47.0	691.0	8.377	5.817	Loan Approved
54.0	697.0	7.041	11.768	Denied
43.0	730.0	7.373	13.704	Denied
52.0	558.0	13.966	8.77	Denied
24.0	815.0	2.598	11.732	Loan Approved
42.0	742.0	8.427	0.0	Denied
32.0	702.0	8.318	14.118	Loan Approved
24.0	716.0	9.919	2.633	Denied
28.0	616.0	9.986	3.692	Denied
32.0	672.0	7.271	10.093	Loan Approved
41.0	623.0	14.766	4.693	Denied
24.0	681.0	11.05	7.677	Loan Approved
50.0	703.0	9.74	12.286	Loan Approved
42.0	722.0	7.799	11.232	Loan Approved
58.0	651.0	9.138	9.616	Loan Approved
58.0	676.0	7.382	1.05	Loan Approved
55.0	724.0	6.578	9.154	Loan Approved
40.0	639.0	10.708	4.394	Denied
49.0	766.0	5.731	6.498	Loan Approved
30.0	731.0	6.486	5.589	Loan Approved
59.0	734.0	4.851	10.771	Loan Approved
39.0	790.0	14.791	12.84	Denied
49.0	757.0	14.494	7.21	Denied
37.0	614.0	15.148	0.0	Denied
52.0	709.0	12.78	6.093	Loan Approved
46.0	636.0	9.171	0.0	Denied
47.0	690.0	11.69	4.627	Denied
55.0	650.0	3.793	8.149	Loan Approved
46.0	742.0	6.552	9.629	Loan Approved
46.0	716.0	5.673	7.121	Loan Approved
25.0	628.0	5.072	4.472	Loan Approved
46.0	662.0	9.661	8.657	Loan Approved
42.0	706.0	5.707	5.609	Denied
29.0	740.0	2.566	5.952	Loan Approved
40.0	677.0	7.255	6.071	Loan Approved
48.0	623.0	13.156	10.738	Denied
37.0	679.0	2.74	1.857	Denied
39.0	712.0	5.229	11.666	Loan Approved
59.0	724.0	4.524	10.076	Loan Approved
42.0	713.0	6.615	0.246	Loan Approved
46.0	723.0	5.035	15.01	Loan Approved
53.0	765.0	5.361	8.083	Loan Approved
58.0	723.0	7.239	6.845	Loan Approved
47.0	784.0	7.259	7.962	Loan Approved
25.0	648.0	12.354	4.408	Loan Approved
41.0	729.0	0.0	4.715	Loan Approved
24.0	778.0	2.521	7.59	Loan Approved
56.0	704.0	11.404	4.675	Denied
46.0	781.0	8.987	8.612	Loan Approved
50.0	691.0	13.233	14.289	Denied
44.0	807.0	0.0	0.0	Loan Approved
55.0	772.0	9.12	10.926	Loan Approved
32.0	662.0	12.217	2.434	Denied
48.0	683.0	6.682	11.509	Loan Approved
59.0	666.0	12.756	9.693	Loan Approved
43.0	664.0	9.659	7.753	Denied
59.0	771.0	11.405	12.545	Loan Approved
59.0	705.0	8.249	10.029	Loan Approved
37.0	750.0	1.176	12.86	Loan Approved
45.0	665.0	9.766	6.572	Denied
25.0	713.0	10.325	2.581	Denied
37.0	782.0	2.28	9.992	Loan Approved
26.0	698.0	7.73	1.26	Denied
32.0	663.0	3.496	5.368	Denied
25.0	676.0	0.0	0.0	Loan Approved
27.0	729.0	4.976	8.669	Loan Approved
27.0	650.0	20.362	5.511	Denied
52.0	775.0	5.178	16.639	Loan Approved
58.0	799.0	14.516	7.978	Loan Approved
33.0	742.0	4.111	5.85	Loan Approved
30.0	706.0	6.969	9.971	Loan Approved
40.0	641.0	11.869	1.099	Denied
37.0	698.0	7.38	12.789	Loan Approved
24.0	713.0	8.665	6.586	Loan Approved
30.0	677.0	10.515	7.517	Loan Approved
24.0	732.0	1.147	12.341	Loan Approved
31.0	662.0	7.924	9.587	Loan Approved
34.0	703.0	2.829	3.827	Loan Approved
50.0	719.0	7.404	11.547	Loan Approved
44.0	688.0	5.95	7.406	Loan Approved
31.0	685.0	13.174	4.089	Denied
46.0	759.0	6.867	0.0	Denied
29.0	688.0	8.35	13.611	Loan Approved
55.0	662.0	9.411	3.338	Denied
39.0	824.0	1.549	9.1	Loan Approved
46.0	656.0	10.705	2.822	Denied
36.0	721.0	0.0	7.478	Loan Approved
26.0	688.0	13.736	8.367	Denied
52.0	693.0	9.453	6.367	Loan Approved
59.0	709.0	10.607	0.0	Denied
39.0	659.0	12.435	2.507	Loan Approved
50.0	722.0	8.967	7.71	Loan Approved
39.0	654.0	8.319	14.01	Denied
57.0	768.0	5.309	9.039	Loan Approved
38.0	695.0	5.988	9.693	Loan Approved
48.0	714.0	8.07	7.98	Denied
35.0	643.0	9.607	0.0	Denied
44.0	675.0	8.757	3.066	Loan Approved
38.0	712.0	6.526	1.39	Denied
53.0	710.0	4.178	4.652	Loan Approved
53.0	785.0	13.239	7.908	Denied
34.0	731.0	8.322	6.596	Loan Approved
55.0	637.0	13.775	7.13	Denied
59.0	650.0	6.914	3.444	Loan Approved
32.0	744.0	7.659	9.344	Denied
25.0	772.0	3.188	10.442	Loan Approved
36.0	698.0	5.743	6.896	Loan Approved
45.0	739.0	11.825	7.509	Loan Approved
29.0	700.0	5.245	13.369	Loan Approved
28.0	632.0	13.513	6.357	Denied
56.0	697.0	8.36	7.027	Loan Approved
39.0	649.0	14.319	6.636	Denied
45.0	690.0	1.577	8.525	Loan Approved
32.0	712.0	4.8	4.666	Loan Approved
27.0	654.0	3.821	3.926	Loan Approved
40.0	720.0	4.161	15.731	Loan Approved
27.0	635.0	0.0	4.011	Loan Approved
56.0	674.0	7.148	15.421	Loan Approved
36.0	672.0	8.396	0.742	Denied
58.0	754.0	6.115	2.493	Loan Approved
30.0	675.0	5.959	0.0	Denied
28.0	693.0	6.133	10.25	Denied
39.0	680.0	13.079	6.975	Denied
59.0	667.0	15.566	7.239	Denied
51.0	659.0	13.677	11.356	Denied
31.0	638.0	14.117	8.557	Loan Approved
58.0	797.0	4.806	4.565	Loan Approved
48.0	650.0	5.557	11.514	Loan Approved
28.0	658.0	11.187	3.476	Denied
31.0	725.0	12.009	6.421	Loan Approved
46.0	691.0	7.299	7.04	Denied
42.0	567.0	11.61	8.086	Denied
27.0	678.0	3.689	8.308	Loan Approved
58.0	714.0	6.607	12.604	Loan Approved
57.0	684.0	3.206	0.176	Denied
45.0	697.0	7.473	11.515	Denied
54.0	625.0	4.58	8.767	Loan Approved
24.0	689.0	4.842	9.609	Loan Approved
41.0	767.0	5.599	11.998	Loan Approved
24.0	710.0	3.469	3.681	Loan Approved
53.0	801.0	5.187	5.09	Loan Approved
46.0	662.0	11.476	13.91	Loan Approved
55.0	694.0	17.845	0.489	Denied
30.0	739.0	10.696	4.894	Denied
26.0	649.0	3.211	9.463	Loan Approved
27.0	667.0	11.204	8.572	Denied
53.0	770.0	4.295	15.873	Loan Approved
35.0	606.0	10.542	4.567	Denied
33.0	697.0	6.749	1.682	Loan Approved
42.0	727.0	6.394	3.787	Loan Approved
49.0	588.0	8.769	13.182	Loan Approved
26.0	772.0	8.072	13.338	Loan Approved
50.0	752.0	8.027	8.644	Loan Approved
56.0	711.0	9.607	6.325	Denied
58.0	732.0	13.431	5.22	Denied
32.0	701.0	0.0	5.859	Loan Approved
56.0	677.0	10.28	6.472	Loan Approved
45.0	738.0	5.717	8.714	Loan Approved
50.0	708.0	5.489	7.354	Loan Approved
48.0	745.0	1.431	12.398	Loan Approved
55.0	633.0	4.403	7.298	Loan Approved
25.0	677.0	9.097	12.36	Loan Approved
29.0	666.0	11.077	4.237	Denied
31.0	748.0	10.254	5.285	Denied
26.0	722.0	5.529	6.737	Loan Approved
31.0	683.0	6.833	8.952	Denied
26.0	658.0	9.936	7.712	Loan Approved
59.0	639.0	5.372	1.426	Loan Approved
51.0	678.0	14.216	5.506	Denied
59.0	794.0	2.59	8.118	Loan Approved
35.0	713.0	10.548	9.841	Loan Approved
37.0	651.0	7.146	4.047	Loan Approved
38.0	755.0	14.764	8.45	Denied
34.0	684.0	8.982	9.222	Loan Approved
33.0	679.0	9.079	4.787	Denied
26.0	614.0	5.83	12.049	Loan Approved
40.0	688.0	12.128	8.918	Denied
57.0	606.0	9.144	12.013	Loan Approved
31.0	722.0	8.64	8.042	Loan Approved
45.0	656.0	16.221	5.526	Denied
40.0	701.0	7.512	12.949	Loan Approved
46.0	717.0	5.182	3.698	Loan Approved
45.0	682.0	10.597	8.067	Denied
36.0	681.0	10.211	4.663	Denied
32.0	713.0	7.919	1.709	Loan Approved
25.0	752.0	1.896	6.917	Loan Approved
49.0	721.0	9.153	0.0	Loan Approved
51.0	793.0	4.438	0.0	Loan Approved
55.0	708.0	4.956	11.005	Loan Approved
45.0	691.0	16.198	0.0	Denied
49.0	785.0	6.632	8.794	Loan Approved
40.0	730.0	8.315	9.887	Loan Approved
48.0	808.0	3.312	8.92	Loan Approved
33.0	660.0	8.862	4.754	Loan Approved
42.0	717.0	9.327	14.729	Loan Approved
59.0	634.0	7.201	0.546	Denied
59.0	677.0	17.493	3.956	Denied
30.0	697.0	4.279	9.189	Loan Approved
59.0	684.0	13.804	7.825	Loan Approved
42.0	717.0	9.919	9.393	Loan Approved
59.0	628.0	5.294	0.861	Loan Approved
29.0	723.0	8.091	3.356	Denied
28.0	674.0	12.514	3.687	Denied
49.0	651.0	1.732	8.034	Loan Approved
25.0	691.0	8.28	7.586	Denied
43.0	652.0	12.6	18.368	Loan Approved
33.0	752.0	7.256	9.261	Loan Approved
48.0	676.0	6.941	4.856	Denied
31.0	644.0	19.902	6.099	Denied
38.0	652.0	6.308	0.0	Denied
30.0	693.0	14.192	2.269	Denied
47.0	666.0	9.517	2.005	Denied
46.0	722.0	5.5	8.299	Loan Approved
43.0	637.0	7.652	5.585	Denied
52.0	781.0	6.804	7.106	Loan Approved
27.0	705.0	7.867	5.451	Loan Approved
30.0	636.0	12.717	1.784	Denied
31.0	575.0	1.726	10.5	Loan Approved
57.0	714.0	11.072	5.912	Denied
25.0	661.0	9.807	0.301	Loan Approved
44.0	738.0	9.372	6.655	Loan Approved
39.0	642.0	3.748	5.198	Loan Approved
58.0	715.0	5.34	9.867	Loan Approved
51.0	712.0	9.349	5.78	Loan Approved
37.0	674.0	5.558	8.032	Loan Approved
37.0	664.0	4.24	13.733	Loan Approved
34.0	735.0	2.307	2.863	Loan Approved
26.0	619.0	6.101	12.302	Loan Approved
53.0	761.0	5.716	12.721	Loan Approved
42.0	635.0	13.427	4.488	Denied
57.0	774.0	10.796	3.733	Loan Approved
36.0	706.0	6.117	10.031	Loan Approved
27.0	653.0	1.736	0.0	Denied
58.0	699.0	4.184	13.857	Loan Approved
51.0	670.0	1.97	7.329	Loan Approved
34.0	806.0	12.404	10.432	Loan Approved
35.0	622.0	10.084	0.733	Denied
33.0	750.0	8.062	8.705	Loan Approved
53.0	732.0	10.836	4.161	Denied
41.0	684.0	13.498	3.216	Denied
37.0	633.0	10.941	3.201	Denied
55.0	700.0	5.136	9.753	Loan Approved
57.0	776.0	9.317	12.735	Loan Approved
39.0	744.0	9.276	2.386	Denied
26.0	712.0	7.728	6.413	Denied
